Column ID,Column Name,Column Alias,Field Type,Connection Name,Connection Alias,datatype,role,Calculation Formula,Original Calculation,Calc Clean Status,Field Used in Worksheets,Worksheet Name,File Name,Tool,File Type,Parameter Count,Relationship Count,Extraction Errors
1,EmplID,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
2,Name,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
3,EmplClass,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
4,EmplStatus,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
5,FullPartTime,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
6,UnionCode,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
7,HireRehireDt,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
8,SeniorityDate,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
9,TimeOfService,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
10,LessThanOneYear,,calculated,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,"= IIF( Fields!TimeOfService.Value <1 , ""True"",""False"")","= IIF( Fields!TimeOfService.Value <1 , ""True"",""False"")",Success,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
11,Supervisor,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
12,Location,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
13,LocationName,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
14,TermDate,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
15,Disabled,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
16,Gender,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
17,Ethnicity,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
18,Minority,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
19,Diversity,,calculated,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,"= IIf (Fields!Disabled.Value = ""Y"" OR Fields!Gender.Value= ""F""  OR Fields!Minority.Value = ""Y"",1 ,0)","= IIf (Fields!Disabled.Value = ""Y"" OR Fields!Gender.Value= ""F""  OR Fields!Minority.Value = ""Y"",1 ,0)",Success,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
20,Action,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
21,ActionDesc,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
22,ActionReason,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
23,Type,,regular,"Data Source=sql-semprahr-prod.database.windows.net;Initial Catalog=sqldb-hrdatamart;Encrypt=True;TrustServerCertificate=True;Authentication=""Active Directory Interactive""",DataSource1,,,,,,No,,Activity - 10 and 49.rdl,SSRS,rdl,2,0,
